car_ID,symboling,CarName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarBrand_alfa-romero,CarBrand_audi,CarBrand_bmw,CarBrand_buick,CarBrand_chevrolet,CarBrand_dodge,CarBrand_honda,CarBrand_isuzu,CarBrand_jaguar,CarBrand_mazda,CarBrand_mercury,CarBrand_mitsubishi,CarBrand_nissan,CarBrand_peugeot,CarBrand_plymouth,CarBrand_porsche,CarBrand_renault,CarBrand_saab,CarBrand_subaru,CarBrand_toyota,CarBrand_volkswagen,CarBrand_volvo,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,doornumber_four,doornumber_two,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginelocation_front,enginelocation_rear,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,cluster
67,0.4,mazda rx-7 gs,0.6310344827586207,0.5059701492537312,0.4833333333333334,0.5500000000000003,0.4701318851823119,0.4219653179190751,0.6357142857142859,0.7071823204419891,1.0,0.150943396226415,0.0270270270270267,0.72,0.676470588235294,0.4144782199937323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
91,0.6000000000000001,nissan gt-r,0.272413793103448,0.3611940298507465,0.2916666666666669,0.5583333333333331,0.2051978277734678,0.2427745664739884,0.3214285714285718,0.6132596685082876,0.9933333333333332,0.0440251572327043,0.3513513513513513,0.4399999999999999,1.0,0.0620808523973676,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
102,0.4,nissan dayz,0.4758620689655175,0.6059701492537313,0.5166666666666666,0.6083333333333338,0.6233514352211016,0.6936416184971098,0.6357142857142859,0.5027624309392267,0.1333333333333333,0.6540880503144654,0.5675675675675675,0.16,0.1764705882352941,0.2626449388906299,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
104,0.4,nissan otti,0.4758620689655175,0.6492537313432836,0.5166666666666666,0.6083333333333338,0.6097750193948797,0.6936416184971098,0.6357142857142859,0.5027624309392267,0.1333333333333333,0.6540880503144654,0.5675675675675675,0.24,0.2647058823529411,0.2626449388906299,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
108,0.4,peugeot 504,0.7344827586206897,0.6805970149253731,0.6750000000000007,0.7416666666666667,0.5942591155934833,0.3410404624277456,0.6571428571428573,0.4585635359116022,0.0933333333333333,0.3081761006289308,0.4594594594594592,0.24,0.2352941176470587,0.2125352554058289,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
109,0.4,peugeot 304,0.7344827586206897,0.6805970149253731,0.6750000000000007,0.7416666666666667,0.6629169899146625,0.5260115606936416,0.828571428571429,0.6408839779005526,0.9333333333333332,0.2955974842767295,0.0,0.6000000000000001,0.5,0.2532748354747728,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
110,0.4,peugeot 504 (sw),0.9517241379310346,0.8626865671641792,0.6750000000000007,0.9083333333333335,0.6757176105508145,0.3410404624277456,0.6571428571428573,0.4585635359116022,0.0933333333333333,0.3081761006289308,0.4594594594594592,0.24,0.2352941176470587,0.2294578502036979,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
111,0.4,peugeot 504,0.9517241379310346,0.8626865671641792,0.6750000000000007,0.9083333333333335,0.7532971295577968,0.5260115606936416,0.828571428571429,0.6408839779005526,0.9333333333333332,0.2955974842767295,0.0,0.48,0.2647058823529411,0.2739580068943905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
112,0.4,peugeot 504,0.7344827586206897,0.6805970149253731,0.6750000000000007,0.7416666666666667,0.6155934833204033,0.3410404624277456,0.6571428571428573,0.5138121546961327,0.0933333333333333,0.2955974842767295,0.4594594594594592,0.24,0.2352941176470587,0.3278596051394547,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
113,0.4,peugeot 604sl,0.7344827586206897,0.6805970149253731,0.6750000000000007,0.7416666666666667,0.6842513576415825,0.5260115606936416,0.828571428571429,0.6408839779005526,0.9333333333333332,0.2955974842767295,0.0,0.6000000000000001,0.5,0.36922594797869,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
